batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
66,1,1.3234248161315918,1.1209385395050049,668,0,0,668,0,27,27,0.0,0.0,0.00016735,0.0001336,3.375e-05,0
67,1,0.8510153293609619,0.6535797119140625,495,0,0,495,0,27,27,0.0,0.0,0.00013275,9.9e-05,3.375e-05,0
68,1,0.9424622058868408,0.7098007202148438,551,0,0,551,0,27,27,0.0,0.0,0.00014395,0.0001102,3.375e-05,0
69,1,0.9866306781768799,0.7159385681152344,489,0,0,489,0,27,27,0.0,0.0,0.00013155,9.78e-05,3.375e-05,0
70,1,1.1994929313659668,0.6707167625427246,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
71,1,0.9224631786346436,0.7277562618255615,642,0,0,642,0,27,27,0.0,0.0,0.00016215,0.0001284,3.375e-05,1
72,1,0.8823347091674805,0.6515011787414551,537,0,0,537,0,27,27,0.0,0.0,0.00014115,0.0001074,3.375e-05,0
73,1,0.874835729598999,0.6690900325775146,386,0,0,386,0,27,27,0.0,0.0,0.00011095,7.72e-05,3.375e-05,0
74,1,0.8876800537109375,0.6837303638458252,498,0,0,498,0,27,27,0.0,0.0,0.00013335,9.96e-05,3.375e-05,0
75,1,1.5559024810791016,1.3024985790252686,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
76,1,0.8874413967132568,0.736548662185669,720,0,0,720,0,27,27,0.0,0.0,0.00017775,0.000144,3.375e-05,0
77,1,0.8344340324401855,0.6225895881652832,577,0,0,577,0,27,27,0.0,0.0,0.00014915,0.0001154,3.375e-05,0
78,1,1.1695666313171387,0.6813948154449463,480,0,0,480,0,27,27,0.0,0.0,0.00012975,9.6e-05,3.375e-05,0
79,1,0.8181238174438477,0.6156291961669922,410,0,0,410,0,27,27,0.0,0.0,0.00011575,8.2e-05,3.375e-05,0
80,1,0.7912120819091797,0.6445050239562988,464,0,0,464,0,27,27,0.0,0.0,0.00012655,9.28e-05,3.375e-05,0
81,1,0.909121036529541,0.7098429203033447,531,0,0,531,0,27,27,0.0,0.0,0.00013995,0.0001062,3.375e-05,0
