batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
11,all_fields,1,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0",4.884933948516846,1.6623575687408447,8220,0,0,8220,0,700,700,0.0,0.0,0.00621,0.00411,0.0021
12,all_fields,1,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0,4.21300745010376,1.4679341316223145,4787,0,0,4787,0,555,555,0.0,0.0,0.0040585,0.0023935,0.001665
13,all_fields,1,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0,7.657905340194702,2.2440361976623535,61862,0,0,61862,0,1320,1320,0.0,0.0,0.034891,0.030931,0.00396
14,all_fields,1,RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,7.612315654754639,1.5724632740020752,11445,0,0,11445,0,1436,1436,0.0,0.0,0.0100305,0.0057225,0.004308
15,all_fields,1,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0,6.469289541244507,1.235407829284668,11033,0,0,11033,0,1216,1216,0.0,0.0,0.0091645,0.0055165,0.003648
16,all_fields,1,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",5.411057233810425,1.6172394752502441,29413,0,0,29413,0,903,903,0.0,0.0,0.0174155,0.0147065,0.002709
17,all_fields,1,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0,7.744204998016357,1.519331693649292,6023,0,0,6023,0,1253,1253,0.0,0.0,0.0067705,0.0030115,0.003759
18,all_fields,1,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,7.5208775997161865,1.5733203887939453,28811,0,0,28811,0,1405,1405,0.0,0.0,0.0186205,0.0144055,0.004215
19,all_fields,1,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",5.813039302825928,1.4758176803588867,17508,0,0,17508,0,1121,1121,0.0,0.0,0.012117,0.008754,0.003363
20,all_fields,1,StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0,10.398568630218506,1.8265750408172607,13773,0,0,13773,0,2047,2047,0.0,0.0,0.0130275,0.0068865,0.006141
21,all_fields,1,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0,5.123065233230591,1.8284943103790283,6704,0,0,6704,0,897,897,0.0,0.0,0.006043,0.003352,0.002691
22,all_fields,1,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,5.092005252838135,1.5445899963378906,11383,0,0,11383,0,842,842,0.0,0.0,0.0082175,0.0056915,0.002526
23,all_fields,1,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0,7.290833473205566,1.727048397064209,10600,0,0,10600,0,1288,1288,0.0,0.0,0.009164,0.0053,0.003864
24,all_fields,1,NUVEEN - REMARKETING AGREEMENT__Document Name_0,5.24937105178833,1.4245953559875488,18860,0,0,18860,0,873,873,0.0,0.0,0.012049,0.00943,0.002619
25,all_fields,1,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,6.373996257781982,1.5183684825897217,7585,0,0,7585,0,1165,1165,0.0,0.0,0.0072875,0.0037925,0.003495
26,all_fields,1,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,9.52277398109436,1.7073149681091309,18697,0,0,18697,0,1469,1469,0.0,0.0,0.0137555,0.0093485,0.004407
27,all_fields,1,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0,6.422788143157959,1.5605406761169434,14117,0,0,14117,0,1111,1111,0.0,0.0,0.0103915,0.0070585,0.003333
28,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,7.183881759643555,1.7736470699310303,12028,0,0,12028,0,1326,1326,0.0,0.0,0.009992,0.006014,0.003978
29,all_fields,1,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0,6.500091791152954,1.6109623908996582,25351,0,0,25351,0,1221,1221,0.0,0.0,0.0163385,0.0126755,0.003663
30,all_fields,1,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,5.488782167434692,1.6604933738708496,6868,0,0,6868,0,926,926,0.0,0.0,0.006212,0.003434,0.002778
31,all_fields,1,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0,2.542181968688965,1.3557498455047607,4442,0,0,4442,0,343,343,0.0,0.0,0.00325,0.002221,0.001029
32,all_fields,1,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,7.217056512832642,1.4463942050933838,19456,0,0,19456,0,1326,1326,0.0,0.0,0.013706,0.009728,0.003978
33,all_fields,1,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0,4.388256788253784,1.4657495021820068,6996,0,0,6996,0,754,754,0.0,0.0,0.00576,0.003498,0.002262
34,all_fields,1,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,4.4270920753479,1.3288421630859375,7791,0,0,7791,0,782,782,0.0,0.0,0.0062415,0.0038955,0.002346
35,all_fields,1,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0,5.71032977104187,1.2904205322265625,9712,0,0,9712,0,943,943,0.0,0.0,0.007685,0.004856,0.002829
36,all_fields,1,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,4.736305475234985,1.4819433689117432,7547,0,0,7547,0,749,749,0.0,0.0,0.0060205,0.0037735,0.002247
37,all_fields,1,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0",7.423040866851807,1.4493522644042969,24747,0,0,24747,0,1494,1494,0.0,0.0,0.0168555,0.0123735,0.004482
38,all_fields,1,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0,2.974182605743408,1.4870047569274902,6377,0,0,6377,0,453,453,0.0,0.0,0.0045475,0.0031885,0.001359
39,all_fields,1,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0",8.690398454666138,1.82403564453125,36325,0,0,36325,0,1690,1690,0.0,0.0,0.0232325,0.0181625,0.00507
40,all_fields,1,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0,5.10938572883606,1.380530595779419,7578,0,0,7578,0,953,953,0.0,0.0,0.006648,0.003789,0.002859
41,all_fields,1,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0,6.98067569732666,1.4783008098602295,8287,0,0,8287,0,1356,1356,0.0,0.0,0.0082115,0.0041435,0.004068
42,all_fields,1,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,9.170846462249756,1.5632283687591553,25616,0,0,25616,0,1832,1832,0.0,0.0,0.018304,0.012808,0.005496
