batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
36,all_fields,2,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0|WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0",41.988200664520264,1.8359429836273193,33331,0,0,33331,0,4444,4444,0.0,0.0,0.055551,0.033331,0.02222
37,all_fields,2,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0|VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0",14.270041465759277,1.1146056652069092,6202,0,0,6202,0,1868,1868,0.0,0.0,0.015542,0.006202,0.00934
38,all_fields,2,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0|LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,43.865063190460205,2.2985522747039795,23021,0,0,23021,0,3208,3208,0.0,0.0,0.039061,0.023021,0.01604
39,all_fields,2,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0|MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,34.75352144241333,1.781526803970337,48260,0,0,48260,0,4200,4200,0.0,0.0,0.06926,0.04826,0.021
40,all_fields,2,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0|ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,22.827018976211548,0.8652064800262451,17500,0,0,17500,0,2851,2851,0.0,0.0,0.031755,0.0175,0.014255
41,all_fields,2,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0|LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,15.5612154006958,1.391291618347168,11092,0,0,11092,0,1904,1904,0.0,0.0,0.020612,0.011092,0.00952
42,all_fields,2,"OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0|XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",32.47732901573181,1.8530919551849365,38339,0,0,38339,0,3530,3530,0.0,0.0,0.055989,0.038339,0.01765
43,all_fields,2,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0|EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,21.982877492904663,1.986358880996704,17335,0,0,17335,0,2583,2583,0.0,0.0,0.03025,0.017335,0.012915
44,all_fields,2,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0|XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,17.120617151260376,0.9896714687347412,14479,0,0,14479,0,2223,2223,0.0,0.0,0.025594,0.014479,0.011115
45,all_fields,2,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0|ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,23.37949514389038,1.1664199829101562,16817,0,0,16817,0,2953,2953,0.0,0.0,0.031582,0.016817,0.014765
46,all_fields,2,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0|SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,25.437858819961548,1.4753406047821045,18857,0,0,18857,0,2802,2802,0.0,0.0,0.032867,0.018857,0.01401
47,all_fields,2,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0|DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0",30.116769313812256,1.8716795444488525,14804,0,0,14804,0,3233,3233,0.0,0.0,0.030969,0.014804,0.016165
48,all_fields,2,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0|StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,35.921743631362915,1.8659155368804932,35705,0,0,35705,0,4084,4084,0.0,0.0,0.056125,0.035705,0.02042
49,all_fields,2,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0|PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,44.88734483718872,1.917597770690918,41424,0,0,41424,0,4824,4824,0.0,0.0,0.065544,0.041424,0.02412
50,all_fields,2,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,24.903728485107422,1.6566128730773926,16591,0,0,16591,0,3146,3146,0.0,0.0,0.032321,0.016591,0.01573
