batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
11,all_fields,2,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0|WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,20.071813106536865,0.7527153491973877,12932,0,0,12932,0,2180,2180,0.0,0.0,0.06503,0.03233,0.0327
12,all_fields,2,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0|NUVEEN - REMARKETING AGREEMENT__Document Name_0,26.1264226436615,1.222503900527954,24206,0,0,24206,0,3119,3119,0.0,0.0,0.1073,0.060515,0.046785
13,all_fields,2,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,23.156066179275513,1.210500955581665,20705,0,0,20705,0,2454,2454,0.0,0.0,0.0885725,0.0517625,0.03681
14,all_fields,2,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,31.142095804214478,1.1462111473083496,21018,0,0,21018,0,3442,3442,0.0,0.0,0.104175,0.052545,0.05163
15,all_fields,2,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0|MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,20.140489101409912,0.9750492572784424,27049,0,0,27049,0,2273,2273,0.0,0.0,0.1017175,0.0676225,0.034095
16,all_fields,2,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0|SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,52.528286933898926,4.494587421417236,18501,0,0,18501,0,3853,3853,0.0,0.0,0.1040475,0.0462525,0.057795
17,all_fields,2,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0|FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,16.669275522232056,0.8251252174377441,9676,0,0,9676,0,1832,1832,0.0,0.0,0.05167,0.02419,0.02748
18,all_fields,2,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0|EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,27.520216703414917,0.7468101978302002,12092,0,0,12092,0,2742,2742,0.0,0.0,0.07136,0.03023,0.04113
19,all_fields,2,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0|ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0",26.1452796459198,1.2426128387451172,25930,0,0,25930,0,2696,2696,0.0,0.0,0.105265,0.064825,0.04044
20,all_fields,2,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0|EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0",50.458678007125854,3.269038438796997,38459,0,0,38459,0,4789,4789,0.0,0.0,0.1679825,0.0961475,0.071835
21,all_fields,2,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0|VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,42.20822548866272,1.150146722793579,28482,0,0,28482,0,4550,4550,0.0,0.0,0.139455,0.071205,0.06825
22,all_fields,2,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0|VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,13.947608232498169,0.66304612159729,8343,0,0,8343,0,1487,1487,0.0,0.0,0.0431625,0.0208575,0.022305
23,all_fields,2,"REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0",31.771899223327637,11.005497932434082,7444,0,0,7444,0,1999,1999,0.0,0.0,0.048595,0.01861,0.029985
24,all_fields,2,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0|WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0,13.858837604522705,0.8429944515228271,5477,0,0,5477,0,1426,1426,0.0,0.0,0.0350825,0.0136925,0.02139
25,all_fields,2,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0|WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0,20.734039545059204,2.551499128341675,19972,0,0,19972,0,2196,2196,0.0,0.0,0.08287,0.04993,0.03294
26,all_fields,2,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,29.461132287979126,1.2885503768920898,30483,0,0,30483,0,3090,3090,0.0,0.0,0.1225575,0.0762075,0.04635
27,all_fields,2,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0|ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,19.65589451789856,0.7286732196807861,10333,0,0,10333,0,2111,2111,0.0,0.0,0.0574975,0.0258325,0.031665
