batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
65,1,1.2430636882781982,0.9632861614227295,574,0,0,574,0,24,24,0.0,0.0,0.000694,0.000574,0.00012,0
66,1,1.5235025882720947,1.3400905132293701,969,0,0,969,0,24,24,0.0,0.0,0.001089,0.000969,0.00012,0
67,1,1.1456761360168457,1.0823051929473877,767,0,0,767,0,24,24,0.0,0.0,0.000887,0.000767,0.00012,0
68,1,0.969996452331543,0.8249673843383789,819,0,0,819,0,24,24,0.0,0.0,0.000939,0.000819,0.00012,0
69,1,1.224902629852295,1.0056800842285156,752,0,0,752,0,24,24,0.0,0.0,0.000872,0.000752,0.00012,0
70,1,1.2298321723937988,1.088667631149292,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
71,1,2.15735125541687,0.8082892894744873,951,0,0,951,0,24,24,0.0,0.0,0.001071,0.000951,0.00012,1
72,1,1.145451307296753,0.8012683391571045,829,0,0,829,0,24,24,0.0,0.0,0.000949,0.000829,0.00012,0
73,1,1.003816843032837,0.8540422916412354,638,0,0,638,0,24,24,0.0,0.0,0.000758,0.000638,0.00012,0
74,1,1.0864293575286865,0.9181702136993408,774,0,0,774,0,24,24,0.0,0.0,0.000894,0.000774,0.00012,0
75,1,1.2519261837005615,1.0526580810546875,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
76,1,1.0785484313964844,0.8025546073913574,1066,0,0,1066,0,24,24,0.0,0.0,0.001186,0.001066,0.00012,0
77,1,1.0751001834869385,0.9251003265380859,840,0,0,840,0,24,24,0.0,0.0,0.00096,0.00084,0.00012,0
78,1,1.396266222000122,1.2362067699432373,750,0,0,750,0,24,24,0.0,0.0,0.00087,0.00075,0.00012,0
79,1,1.2403159141540527,1.028207540512085,669,0,0,669,0,24,24,0.0,0.0,0.000789,0.000669,0.00012,0
80,1,1.2159037590026855,0.9256601333618164,725,0,0,725,0,24,24,0.0,0.0,0.000845,0.000725,0.00012,0
81,1,1.0585944652557373,0.8959250450134277,803,0,0,803,0,24,24,0.0,0.0,0.000923,0.000803,0.00012,0
82,1,0.9910690784454346,0.9621827602386475,776,0,0,776,0,24,24,0.0,0.0,0.000896,0.000776,0.00012,0
83,1,0.9749455451965332,0.8680071830749512,691,0,0,691,0,24,24,0.0,0.0,0.000811,0.000691,0.00012,0
84,1,1.0311436653137207,0.8977282047271729,660,0,0,660,0,24,24,0.0,0.0,0.00078,0.00066,0.00012,0
