run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,62,all_fields,1,SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0,54.61089849472046,1.1158130168914795,13665,0,1956,13665,0,2683,2683,0.0,0.0,0.082707,0.042462,0.040245
,63,all_fields,1,MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0,27.65731644630432,1.0033810138702393,7214,0,1960,7214,0,1402,1402,0.0,0.0,0.044142,0.023112,0.02103
1,64,all_fields,1,"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0",45.23610067367554,2.7853550910949707,15163,0,1962,15163,0,2494,2494,0.0,0.0,0.0843705,0.0469605,0.03741
,65,all_fields,1,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0,7.641801118850708,1.0098953247070312,2584,0,1959,2584,0,822,822,0.0,0.0,0.02155125,0.00922125,0.01233
,66,all_fields,1,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0,9.539204597473145,0.9583873748779297,2997,0,1958,2997,0,569,569,0.0,0.0,0.0189945,0.0104595,0.008535
,67,all_fields,1,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0",22.04265522956848,0.9107377529144287,4662,0,1957,4662,0,1144,1144,0.0,0.0,0.03261375,0.01545375,0.01716
,68,all_fields,1,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0,36.65760660171509,2.491438865661621,9821,0,1962,9821,0,1878,1878,0.0,0.0,0.0591045,0.0309345,0.02817
,69,all_fields,1,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0,29.31817889213562,1.0669324398040771,13211,0,1960,13211,0,1610,1610,0.0,0.0,0.065253,0.041103,0.02415
,70,all_fields,1,DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0,13.213314056396484,0.7166550159454346,4574,0,1958,4574,0,899,899,0.0,0.0,0.0286755,0.0151905,0.013485
,71,all_fields,1,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0",50.49150085449219,1.1583771705627441,15922,0,1957,15922,0,2686,2686,0.0,0.0,0.08952375,0.04923375,0.04029
,72,all_fields,1,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0,64.92232632637024,1.2635307312011719,19394,0,1958,19394,0,3480,3480,0.0,0.0,0.1118505,0.0596505,0.0522
,73,all_fields,1,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0",15.526918172836304,0.9849748611450195,3692,0,1961,3692,0,901,901,0.0,0.0,0.02606175,0.01254675,0.013515
,74,all_fields,1,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0,14.118534326553345,1.6735448837280273,4498,0,1958,4498,0,935,935,0.0,0.0,0.0289875,0.0149625,0.014025
,75,all_fields,1,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0,41.33572506904602,1.3418681621551514,12239,0,1959,12239,0,2092,2092,0.0,0.0,0.06956625,0.03818625,0.03138
,76,all_fields,1,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,37.801843881607056,1.650804042816162,12766,0,1960,12766,0,2327,2327,0.0,0.0,0.074673,0.039768,0.034905
,77,all_fields,1,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0,38.96164655685425,2.8569118976593018,11507,0,1956,11507,0,2179,2179,0.0,0.0,0.068673,0.035988,0.032685
,78,all_fields,1,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,79.24443006515503,1.7606885433197021,38742,0,1959,38742,0,4005,4005,0.0,0.0,0.17777025,0.11769525,0.060075
,79,all_fields,1,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0,46.13650035858154,2.2009007930755615,14220,0,1962,14220,0,2346,2346,0.0,0.0,0.0793215,0.0441315,0.03519
,80,all_fields,1,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,18.603875637054443,2.1637961864471436,5270,0,1959,5270,0,1341,1341,0.0,0.0,0.03739425,0.01727925,0.020115
,81,all_fields,1,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0,8.72532033920288,1.2581627368927002,2891,0,1959,2891,0,627,627,0.0,0.0,0.01954725,0.01014225,0.009405
,82,all_fields,1,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,32.71172881126404,1.0132169723510742,10186,0,1957,10186,0,2020,2020,0.0,0.0,0.06232575,0.03202575,0.0303
,83,all_fields,1,OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0,74.45474219322205,1.7058990001678467,36944,0,1957,36944,0,3486,3486,0.0,0.0,0.16458975,0.11229975,0.05229
